Entry File Name,Entry File,Icon File,Entry Title,Artist Credit,Writer Credit,Writing
01_entry.PNG,01_entry.PNG,01_entry_icon.PNG,Axel Flower Stand,Ran (@suzurannyaa),Lulu (@clue_lu_less),"Hoping this year is a slam dunk! The Axelotls worked hard to prepare a flower stand featuring an array of bright blooms that positively erupt with passion and charm, just like their oshi! Dotted with bright oranges and yellows, these flowers are bursting with the kind of persistence and strength that our resident hitman, doctor, assassin, gladiator idol inspires in us. Don't mind the scratches. Do you know how hard it is to climb with tiny arms?"
02_entry.PNG,02_entry.png,02_entry_icon.PNG,Shiny Spicy (Duo) Flower Stand,Skylimit Art (@skylimitart),Skylimit Art (@skylimitart),"With a dazzling array of blue and orange flowers carefully arranged, this flower stand is dedicated to both Shiny and Spicy. A variety of blooms are displayed; from bright Gerbera Daisies, Marigolds, Forget-Me-Nots, Cosmos, Hydrangeas, and Carnations, to intensely-hued Irises, Hyacinths, Bluebells, and Lilies. There's even a few Birds of Paradise! Many stars shine from behind and within the flowers to support the beloved guiding lights that make up Tempus HQ, Altare and Axel."
03_entry.PNG,03_entry.PNG,03_entry_icon.PNG,Altare Flower Stand,Ran (@suzurannyaa),Ran (@suzurannyaa),"The Altventurers have prepared a flower stand adorned with various flowers! Symbolizing their utmost gratitude and the strength to carry on through whatever challenges you might face, this flower stand contains only the purest form of love and gratitude for their beloved oshi. May the stars guide you through your journey, which, although challenging, shall be filled with love and warmth."
04_entry.PNG,04_entry.png,04_entry_icon.PNG,Shiny Spicy Ramen Time,CTS (@cts_1_),CTS (@cts_1_),Ramen heals the soul but eating with Shiny Spicy is heaven! Happy 4th Anniversary <3
05_entry.PNG,05_entry.png,05_entry_icon.PNG,Sharing a Drink,Honeybeagle (@adiostama),Honeybeagle (@adiostama),A cozy Mini Altare gets a “boost” from Mini Axel to try and reach his Blue Slimeade. (No slimes were harmed in the making… probably…)
06_entry.PNG,06_entry.png,06_entry_icon.PNG,Demon King and Fire Prince Learn The Proper Way To Rule,CTS (@cts_1_),CTS (@cts_1_),"Demon King and Fire Prince travel to Elysiamexico and learn how to rule from the Zapotec Civilization at Monte Alban. This civilization is approximately 2500 years old, since 500 BCE. It served as a major political and economic capital. Only royalty and priests were able to set foot in these temples excluding the peasants far from the site. Near the center of the area is where rituals and sacrifice were performed for the gods. Something the Demon King and Fire Prince took an interest in. >:D"
07_entry.PNG,07_entry.png,07_entry_icon.PNG,Demon King and Fire Prince Learn How To Eat Like True Royalty,CTS (@cts_1_),CTS (@cts_1_),"Demon King and Fire Prince try the traditional dish tlayudas. Often referred to as ""Oaxacan pizza,"" this dish starts with a massive, thin corn tortilla toasted over an open flame. It is spread with asiento (pork lard), refried black beans, cabbage, Oaxacan string cheese, and usually topped with meats like tasajo (thin-sliced cured beef) or cecina (seasoned pork)."
08_entry.PNG,08_entry.png,08_entry_icon.PNG,The Many Lives of Nuitare,eevee (@eeveetheerin),eevee (@eeveetheerin),"Cult leader, nature lover, thrill-seeker, pop star, and a prince? Just what can’t nuitare do? (Hint: Everything is possible!)"
09_entry.PNG,09_entry.png,09_entry_icon.PNG,A Treat for Shiny Spicy: Katsu Teishoku Set,Max UwU (@UwU_waccoon),Max UwU (@UwU_waccoon),"Nothing like enjoying a nice, warm katsu teishoku meal after a long day of singing and dance rehearsals. A little treat for the Shiny Spicy duo."
10_entry.PNG,10_entry.png,10_entry_icon.PNG,A Treat for ShinySpicy: Lava Cake a la mode,Max UwU (@UwU_waccoon),Max UwU (@UwU_waccoon),"Of course, a treat isn’t complete without something sweet! This lava cake with vanilla ice cream is both warm and cool, a little different but when combined make a perfect duo just like Shiny Spicy! (Note: the ice cream is totallyyyy safe for a certain hero with a certain tummy debuff to consume. Promise!)"
11_entry.PNG,11_entry.png,11_entry_icon.PNG,Right after Everglow,Vegebean (@x29830997),Vegebean (@x29830997),I am a gust of wind o7
12_entry.PNG,12_entry.png,12_entry_icon.png,Aniki at a fanmade concert!,nenemi (@nenetemi),nenemi (@nenetemi),I used aniki as a penlight www
13_entry.PNG,13_entry.png,13_entry_icon.png,Cheap ramen with aniki,nenemi (@nenetemi),nenemi (@nenetemi),First time eating ramen!
14_entry.PNG,14_entry.png,14_entry_icon.png,Shiny Spicy Sundae,WindStreak (＠WindStreak),WindStreak (＠WindStreak),"On a hot summer's day after an outing out in the sun, nothing beats a scoop of ice cream."
15_entry.PNG,15_entry.png,15_entry_icon.png,Blooming Dingo,WindStreak (＠WindStreak),WindStreak (＠WindStreak),"As the weather turns nice, stop by and smell the flowers that have recently come into full bloom. You may find a pleasant surprise, mayhaps a dingo who shall not be named has decided to do the same."
16_entry.PNG,16_entry.png,16_entry_icon.png,A Garden Abloom,morning dew (@morningdew_phd),morning dew (@morningdew_phd),Altare taking a tour of the Tempus Guild garden.
17_entry.PNG,17_entry.png,17_entry_icon.png,Delish!!,abby♡ (@FURUICHIGASAKI),abby♡ (@FURUICHIGASAKI),Enjoyed Korean food with Shiny Spicy!! nom nom nom~
18_entry.PNG,18_entry.png,18_entry_icon.png,SHINY SPICY SUMMER,abby♡ (@FURUICHIGASAKI),abby♡ (@FURUICHIGASAKI),I took Shiny Spicy with me in an island in the middle of nowhere~ I want to go back here someday~
19_entry.PNG,19_entry.png,19_entry_icon.png,Wanted Nuitare,Whitflow (@WhitflowArt),Whitflow (@WhitflowArt),"Look at that cute face! Wanted for being too cute, definitely!! <3 (don't mind the blood)"
20_entry.PNG,20_entry.png,20_entry_icon.png,Beautiful morning,Tsukiko Ichinose (@tsukikoichinose),Tsukiko Ichinose (@tsukikoichinose),Pwetty flowers with pwetty oshi
21_entry.PNG,21_entry.png,21_entry_icon.png,hawt pawt,Tsukiko Ichinose (@tsukikoichinose),Tsukiko Ichinose (@tsukikoichinose),Sharing food with your oshi makes food so much tastier!
22_entry.PNG,22_entry.png,22_entry_icon.png,Bricktare and Brickxel,Kismet Nightingale (@kismetnightgale),Kismet Nightingale (@kismetnightgale),Bricktare and Brickxel - Built different 
23_entry.PNG,23_entry.png,23_entry_icon.png,Cherry Blossom fest,Kismet Nightingale (@kismetnightgale),Kismet Nightingale (@kismetnightgale),Amid the flowers - at the Cherry Blossom Festival!
24_entry.PNG,24_entry.png,24_entry_icon.png,My First Oshikatsu!,jasminetea,jasminetea,My first time doing oshikatsu! Happy 4th anni HQ!
25_entry.PNG,25_entry.png,25_entry_icon.png,Enjoying the Tea,Tamacitas,Tamacitas,"Cupsleeve art from Holostars 7th Anniversary : 7th Stars Festival (ID)
ShinySpicy stickers by frog (@shrinpura)"
26_entry.PNG,26_entry.png,26_entry_icon.png,Pearls amidst the flowers,eevee (@eeveetheerin),eevee (@eeveetheerin),"The thorny roads can bloom into flower paths, and trials can end in something precious."
27_entry.PNG,27_entry.png,27_entry_icon.png,Afternoon Tea with Shiny Spicy~!,Platsu (@TechnicolorQ),Platsu (@TechnicolorQ)," A little champagne, some treats & tea, and starlight for our Stars."
28_entry.PNG,28_entry.png,28_entry_icon.png,Celebratory Strawberry Bingsu,Fabu (@fabubro),Fabu (@fabubro),Leader and Aniki cool off with some yummy strawberry shaved ice at a cupsleeve event for Holostars JP’s 7th anniversary!
BOOK,29_book_icon,29_book_icon.png,NOTE: This is meant to be a link for the Guestbook/Kudoboard (get link from Minji),,,
