Entry File Name,Entry File,Icon File,Entry Title,Artist Credit,Writer Credit,Writing
01_entry.PNG,01_entry.png,01_entry_icon.png,Shiny Spicy Compilation Album,Aluviella (@aluviella),Aluviella (@aluviella),"Are you ready for SHINY SPICY’S GREATEST HITS, a compilation album of the ages? An all-new album featuring the dynamic duo’s most popular and iconic songs, all in one collection! This album has all of your favourite tracks; relive the magic with songs from their iconic 3D showcases! Or enjoy the nostalgia of their debut covers and reminisce about how far they’ve come. Don’t forget Altare’s beautiful cello performances or Axel’s fun roulette karaokes! Whatever song you like, this album has it all!"
02_entry.PNG,02_entry.png,02_entry_icon.png,Halfway to Elysium,Stormfall (@StormfallSails),Stormfall (@StormfallSails),"This is a first edition vinyl of Shiny Spicy's hit album 'Halfway to Elysium'. The album dazzled music lovers everywhere with its uplifting message about holding on to what you have, no matter where you end up down the road. With the immense popularity of the album, three more versions of the vinyl have been produced in the years following its release."
03_entry.PNG,,03_entry_icon.png,PhotoCard,Seo (@niserri),Seo (@niserri),
04_entry.PNG,04_entry.png,04_entry_icon.png,Everglowing Fanfare,vivid_Syd (@vivid_Syd315),Ri Lo (@RiLo_08),"How do you capture something meaningful? 
<br><br>
Like that lingering feeling of bliss, love, or even warmth that you want to remain for the rest of your life?
<br><br>
A connection that you want to keep with just the palm of your hands, even though it has passed?
<br><br>
On that vibrant, brightly lit stage, four male idols of HOLOSTARS EN performed their routines with unapologetic individuality. 
<br><br>
Regis Altare, Axel Syrios, Banzoin Hakka, and Octavio delivered their own rendition of a famous idol duo song with an inspirational theme.
<br><br>
Seeing the quartet in striking, monochrome outfits and high-energy poses is a refreshing sight!
<br><br>
This concert poster captivates your attention, inviting you to celebrate the sheer fun and joy of their music. 
<br><br>
As a major milestone, this represents a deeply touching moment. It was their way of sharing gratitude and dedicating a special event to the fans—a concert you won't want to miss. 
<br><br>
By looking at the poster, you could imagine them singing in harmony, blending their voices smoothly to perform the song with natural emotion.
<br><br>
Just like the track title suggests, life's crossroads can be challenging, but they shouldn't stop you from pursuing your dreams and staying true to yourself.
<br><br>
Above all, their performance in the Everglow concert bridged the gap between the Vtuber idols and Starmins through this shared experience, creating a mood-boosting, pleasing atmosphere."
05_entry.PNG,05_entry.png,05_entry_icon.png,Unchained,zen (@zzzenmui),Bia★Aya (@biaisbia),"Poster of the first visit Axel and Altare made to Xenokuni, celebrating the union of TEMPUS. One of the memorable moments of their visit was the local outfits used by them not only to get immersed in the cultural scene, but also a requirement of the country for their visit, something Axel quickly learned after being held on the main gates for not wearing one like Altare. With a little help and some conversation, HQ members were allowed in Xenokuni."
06_entry.PNG,06_entry.png,06_entry_icon.png,Melodies of Elysium,Nes (@herb1vosa),Nes (@herb1vosa),"18th February, 2024 - A much awaited day for a very special collaboration. On this day, the founding members of TEMPUS HQ opened their joint concert at the HOLOSTARS Arena with a heartwarming live rendition of their original song ‘Top of the World’, stunning the audience as their guildmates' voices sang along to the memorable track. Hands outstretched, they conveyed a sense of unshakeable bond and community, thus raising the curtains for an outstanding celebration from two of Elysium’s greatest."
07_entry.PNG,07_entry.png,07_entry_icon.png,Bring It On!!!,Jinea (@Friedjinea),Jinea (@Friedjinea),“BRING IT ON!!!” as the boys are about to perform their last song for the concert!
08_entry.PNG,08_entry.png,08_entry_icon.png,Far From Home Novel,Minji @Minjastars,Flyingspacewhale (@Absolutecr1nge) ,Altare and Axel are trapped inside an idyllic high school dream! Can they escape and make their way back to Elysium?
09_entry_PNG,,09_entry_icon.png,Sea of Stars CD Cover,Minji @Minjastars,,https://drive.google.com/drive/u/2/folders/184XtAMQ0QdOZk92hvh6S1drWGZPP_CvM
10_entry_PNG,,10_entry_icon.png,Sea of Stars Penlight,Mmmonstruo @mmmonstruo,,https://drive.google.com/drive/folders/1NPn8hVO0SLcak5LVXBchbwcpjDHkq-PB
11_entry_PNG,11_entry.png,11_entry_icon.png,Shoot For The Stars,Fluor (@fluorescencefuture),Fluor (@fluorescencefuture),A tribute album by Shiny Spicy dedicated to the Stars that shone before them and the Stars that sparkled after.
