Entry File Name,Entry File,Icon File,Entry Title,Artist Credit,Writer Credit,Writing
01_entry.PNG,01_entry.png,01_entry_icon.png,Tempus Gala,Clara (@Claramell21),Ri Lo (@RiLo_08),"Refinement and splendour unite in one spectacular gala, as the decadent and tailored costumes capture old-world sensibilities, with each signature look reflecting a unique sense of style and personal aesthetic.
<br><br>
Sartorial fashion at its finest: this is what TEMPUS HQ’s attire represents.
<br><br>
The gala costume by The Isekai Hero Slime, Regis Altare conveys a sophisticated, relaxed style.
<br><br>
Harnessing an Onyx hue and brilliant blue tones of Prussian, frost and azure, these shades beautifully complemented the silk and wool fabrics to craft the finest clothing.
<br><br>
A soft light blue necktie and pocket square in sight, fine silver threads, and cool metal accents embellished the outfit, with sharp pinstripes adding a sense of boldness and nostalgia. This attire feels effortlessly powerful and stylish.
<br><br>
Undeniably, these Gala outfits aren’t just worn; They are living, breathing art.
<br><br>
Each piece perfectly demonstrates the elevated style of designer wear, breathtaking and endless."
02_entry.PNG,02_entry.png,02_entry_icon.png,The Star Guardian,irisnoira (@chococattail),Bia★Aya (@biaisbia),"Costume used by Altare in the annual Hero's Gala, event that celebrates all heroes around Elysium. Altare won the honor prize that night for his contributions around the continent, including and not limited to, helping slime communities to move to safer places, increasing their population and quality of life. His costume's high points are the crystals powder around the edges, refined from the mines near the newest slime home; the lace on his back contains healing components for emergency cases. Everything carefully tailored to make it practical to walk and be combat ready for any emergency while being the most shining star of the gala night."
03_entry.PNG,03_entry.png,03_entry_icon.png,Altare’s Idol Outfit,Sharkie (@sharkfintempura),Sharkie (@sharkfintempura),"The idol outfit Regis Altare first wore for HSEverglow. The mostly white attire is contrasted by a dark translucent undershirt and black accessories, lined by his signature shade of blue. When he performed in it on stage, the inspiring light of this hero was amplified tenfold, reaching the hearts of every audience member. Tonight, it’s ready to be donned again! 
<br><br>
It seems a little Altventurer has found a napping spot on the collar… concert prep must’ve tuckered it out. Let’s wake it gently~"
04_entry.PNG,04_entry.png,04_entry_icon.png,Hats,Akira Cryptid (@akira-cryptid),Akira Cryptid (@akira-cryptid),Hats based after Altare and Axel. Both are adorned with various call backs to their original outfits and stylized to fit onto very stylish hats! Wear em’ to be the talk of the town and glamorize your vibe.
05_entry.PNG,05_entry.png,05_entry_icon.png,Shiny Spicy Bag Ornament,Paradise's Dawn (@paradawnwashere),Paradise's Dawn (@paradawnwashere),Shiny Spicy squishy bag ornament that gives you some aggression in every squish. Please don’t separate them.
06_entry.PNG,06_entry.png,06_entry_icon.png,The Hero and the Idol,Cherry (@cherrytartart),Cherry (@cherrytartart),"Plushies of Altare the Hero and Axel the Idol, the brave duo who embarked on countless adventures in Me-Land! As Altare swung his mighty sword with his terrifying catchphrase, ""I'm gonna kidnap you!"", no monsters were safe from his attacks. Meanwhile, Axel's beautiful singing of ""D*k n ballz"" could fire up the party and ensure a shiny-spicy victory! Together, they'd go on to have a memorable journey full of ups and downs– making friends, finding treasures, and bringing joy to the land!"
07_entry.PNG,07_entry.png,07_entry_icon.png,A Young Adventurer’s Scarf,octaswirlchoron,octaswirlchoron,"Altare’s very soft and fluffy childhood blue scarf. Though it’s showing its age, it’s clear that the slimes have taken good care of it."
08_entry.PNG,08_entry.png,08_entry_icon.png,Concert Tote Bag,Elli (@elli_tellion),Elli (@elli_tellion),"A companion for your journey! Decorated with cute drawings of our leader and a squishy little Cultare Altventurer, plus a charm that is totally not a sneaky snip of his belt, this tote bag will be by your side for this concert and even future adventures. What equipment will you be bringing along?"
09_entry.PNG,09_entry.png,09_entry_icon.png,Shiny X Spicy T-Shirts,Danne (@Clover_struk),Danne (@Clover_struk),"The design was formed through a collaboration with the fans. It took a few weeks to 2 months until the look was right.
<br><br>
While it focuses on them, this is also a celebration of the twelve constellations and the dozens of stars supporting every journey."
,,,,,,
BACKGROUND:,5_RoomAltare.png,,,,,
Background Example:,5_RoomAltare_example.png,,,,,
