Entry File Name,Entry File,Icon File,Entry Title,Artist Credit,Writer Credit,Writing
01_entry.PNG,01_entry.png,01_entry.png,Tempus Gala,Clara (@Claramell21),Ri Lo (@RiLo_08),"Refinement and splendour unite in one spectacular gala, as the decadent and tailored costumes capture old-world sensibilities, with each signature look reflecting a unique sense of style and personal aesthetic.
<br><br>
Sartorial fashion at its finest: this is what TEMPUS HQ’s attire represents.
<br><br>
The gala costume by The Isekai Hero Slime, Regis Altare conveys a sophisticated, relaxed style.
<br><br>
Harnessing an Onyx hue and brilliant blue tones of Prussian, frost and azure, these shades beautifully complemented the silk and wool fabrics to craft the finest clothing.
<br><br>
A soft light blue necktie and pocket square in sight, fine silver threads, and cool metal accents embellished the outfit, with sharp pinstripes adding a sense of boldness and nostalgia. This attire feels effortlessly powerful and stylish.
<br><br>
Undeniably, these Gala outfits aren’t just worn; They are living, breathing art.
<br><br>
Each piece perfectly demonstrates the elevated style of designer wear, breathtaking and endless."
02_entry.PNG,02_entry.png,02_entry_icon.png,Axel’s Idol Outfit,Sharkie (@sharkfintempura),Sharkie (@sharkfintempura),"The idol outfit Axel Syrios first wore for HSEverglow. The mostly black attire is accessorized with many belts and lined by his signature shade of orange. When Axel performed it on stage, he exuded rockstar energy and each song became more fun than the last, lifting the spirits of each audience member. Tonight, it’s ready to be donned again!
<br><br>
That clingy Axelotl also seems to be back with as strong a grip as ever."
03_entry.PNG,03_entry.png,03_entry_icon.png,Hats,Akira Cryptid (@akira-cryptid),Akira Cryptid (@akira-cryptid),Hats based after Altare and Axel. Both are adorned with various call backs to their original outfits and stylized to fit onto very stylish hats! Wear em’ to be the talk of the town and glamorize your vibe.
04_entry.PNG,04_entry.png,04_entry_icon.png,Shiny Spicy Bag Ornament,Paradise's Dawn (@paradawnwashere),Akira Cryptid (@akira-cryptid),Shiny Spicy squishy bag ornament that gives you some aggression in every squish. Please don’t separate them.
05_entry.PNG,05_entry.png,05_entry_icon.png,The Hero and the Idol,Cherry (@cherrytartart),Cherry (@cherrytartart),"Plushies of Altare the Hero and Axel the Idol, the brave duo who embarked on countless adventures in Me-Land! As Altare swung his mighty sword with his terrifying catchphrase, ""I'm gonna kidnap you!"", no monsters were safe from his attacks. Meanwhile, Axel's beautiful singing of ""D*k n ballz"" could fire up the party and ensure a shiny-spicy victory! Together, they'd go on to have a memorable journey full of ups and downs– making friends, finding treasures, and bringing joy to the land!"
06_entry.PNG,06_entry.png,06_entry_icon.png,Concert Tote Bag,Elli (@elli_tellion),Elli (@elli_tellion),"A necessity for your treasure hunts! This tote bag is adorned with drawings of our resident hitman, doctor, assassin, gladiator idol and a cheekily cute Axelotl, along with a little chain charm, to accompany you to the concert and any expeditions beyond! Now what are you gonna put in here?"
07_entry.PNG,07_entry.png,07_entry_icon.png,Shiny X Spicy T-Shirts,Danne (@Clover_struk),Danne (@Clover_struk),"The design was formed through a collaboration with the fans. It took a few weeks to 2 months until the look was right.
<br><br>
While it focuses on them, this is also a celebration of the twelve constellations and the dozens of stars supporting every journey."
,,,,,,
BACKGROUND:,6_RoomAxel.png,,,,,
Background Example:,6_RoomAxel_example.png,,,,,
